claim,evidence,label
Planet of the Apes was a planetary success.,"Planet of the Apes is an American science fiction media franchise consisting of films , books , television series , comics , and other media about a world in which humans and intelligent apes clash for control .|A planet is an astronomical body orbiting a star or stellar remnant that|Planet of the Apes is an American science fiction media franchise consisting of films , books , television series , comics , and other media about a world in which humans and intelligent apes clash for control .|Wesley Keith Schultz -LRB- born December 30 , 1982 -RRB- is the guitarist and lead vocalist for the American folk rock band The Lumineers .",NOT ENOUGH INFO
Nikolaj Coster-Waldau was not in a Danish thriller film.,Coster-Waldau 's breakthrough performance in Denmark was his role in the film Nightwatch -LRB- 1994 -RRB- .|Nightwatch -LRB- Nattevagten -RRB- is a 1994 Danish thriller film directed and written by Danish director Ole Bornedal .,REFUTES
Absolute Beginners featured a band formed in France.,"The A Band are a British musical collective formed in Nottingham in the late 1980s .|France -LRB- -LSB- fʁɑ̃s -RSB- -RRB- , officially the French Republic -LRB- -LSB- ʁepyblik fʁɑ̃sɛz -RSB- -RRB- , is a country with territory in western Europe and several overseas regions and territories .",NOT ENOUGH INFO
Sean Connery won three Golden Globes.,"Sir Thomas Sean Connery KB -LRB- -LSB- ˈʃɔːn_ˈkɒnəri -RSB- born 25 August 1930 -RRB- is a retired Scottish actor and producer who has won an Academy Award , two BAFTA Awards -LRB- one of them being a BAFTA Academy Fellowship Award -RRB- and three Golden Globes -LRB- including the Cecil B. DeMille Award and a Henrietta Award -RRB- .",SUPPORTS
Gujarat is in Western Boston.,"Gujarat -LRB- -LSB- , gUdZ@'raht -RSB- -LSB- ˈɡudʒ ɾaːt̪ -RSB- -RRB- is a state in Western India , It has an area of 196024 km2 with a coastline of 1600 km , most of which lies on the Kathiawar peninsula , and a population in excess of 60 million .",REFUTES
Cancer is a group of diseases involving abnormal cell proliferation.,Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body .,SUPPORTS
Seiko is a holding crew.,", more commonly known simply as Seiko -LRB- -LSB- ˈseɪkoʊ -RSB- -RRB- , is a Japanese holding company that holds subsidiaries which manufactures and sells watches , clocks , electronic devices , semiconductors , jewelries , and optical products .|J.Crew Group , Inc. , is an American multi-brand , multi-channel , specialty retailer .",NOT ENOUGH INFO
Marion Cotillard portrayed someone.,"For her portrayal of the French singer Édith Piaf in the biopic La Vie en Rose -LRB- 2007 -RRB- , Cotillard achieved worldwide recognition and won her second César Award , a BAFTA Award , a Golden Globe Award , a Lumières Award and the Academy Award for Best Actress , becoming the first and -LRB- as of 2017 -RRB- only actor to win an Academy Award for a performance in French , and also the second actress and one of only six actors to have won this award for a part spoken in a foreign language .",SUPPORTS
Chandni was created in 2001.,"Chandni -LRB- Translation : Moonlight -RRB- is a 1989 Indian Hindi language romantic drama film , starring Sridevi as the eponymous lead alongside Rishi Kapoor and Vinod Khanna and Waheeda Rehman .",REFUTES
Ronald Reagan worked for the president of the United States.,"Ronald Wilson Reagan -LRB- -LSB- ˈrɒnəld_ˈwɪlsən_ˈreɪɡən -RSB- -RRB- -LRB- February 6 , 1911 -- June 5 , 2004 -RRB- was an American politician and actor who served as the 40th President of the United States from 1981 to 1989 .",REFUTES
San Francisco has sparse hills.,"San Francisco -LRB- initials SF -RRB- -LRB- -LSB- sæn_frənˈsɪskoʊ -RSB- , Spanish for Saint Francis ; Spanish : -LSB- san franˈsisko -RSB- -RRB- , officially the City and County of San Francisco , is the cultural , commercial , and financial center of Northern California .|The Cheviot Hills -LRB- / ` tʃiːvɪət / -RRB- are a range of rolling hills straddling the Anglo-Scottish border between Northumberland and the Scottish Borders .",NOT ENOUGH INFO
Kill Bill: Volume 2 is about the Bride continuing her revenge against Bill.,"It stars Uma Thurman as the Bride , who continues her campaign of revenge against the Deadly Viper Assassination Squad -LRB- Lucy Liu , Michael Madsen , Daryl Hannah and Vivica A. Fox -RRB- and their leader Bill -LRB- David Carradine -RRB- , who tried to kill her and her unborn child .",SUPPORTS
Captain America started in 1944.,Captain America is a fictional character appearing in American comic books published by Marvel Comics .|,NOT ENOUGH INFO
Music journalism is critical of popular music topics.,"Music journalism -LRB- or `` music criticism '' -RRB- is media criticism and reporting about popular music topics , including pop music , rock music , and related styles .",SUPPORTS
Tom Felton is an actor.,Thomas Andrew `` Tom '' Felton -LRB- born 22 September 1987 -RRB- is an English actor .,SUPPORTS
The Marvel Cinematic Universe's first phase ended.,"The first film released in the MCU was Iron Man -LRB- 2008 -RRB- , which began the first phase of films culminating in the crossover film Marvel 's The Avengers -LRB- 2012 -RRB- .",SUPPORTS
Titanium is in the novel Nothing but the Beat.,"Titanium is a chemical element with symbol Ti and atomic number 22 .|The Beat Generation is a literary movement started by a group of authors whose work explored and influenced American culture and politics in the post-World War II era .|A novel is any relatively long piece of written narrative fiction , normally in prose , and typically published as a book .|The Beat may refer to :",NOT ENOUGH INFO
Event management includes coordinating with spies.,"Event management is the application of project management to the creation and development of large scale events such as festivals , conferences , ceremonies , formal parties , concerts , or conventions .|Spies most commonly refers to people who engage in spying , espionage or clandestine operations .",NOT ENOUGH INFO
Jordan Knight is a dancer.,"Jordan Nathaniel Marcel Knight -LRB- born May 17 , 1970 -RRB- is an American singer-songwriter and actor , best known as the lead singer of the boy band New Kids on the Block -LRB- NKOTB -RRB- , who rose to fame in the 1980s and 1990s .|Dance is a performing art form consisting of purposefully selected sequences of human movement .",NOT ENOUGH INFO
Here is rarely by a singer.,,NOT ENOUGH INFO
Hulk's coloration has not varied.,"Although the Hulk 's coloration has varied throughout the character 's publication history , the most usual color is green .",REFUTES
Tanzania has a weather system.,"Tanzania -LSB- ˌtænzəˈniːə -RSB- , officially the United Republic of Tanzania -LRB- Jamhuri ya Muungano wa Tanzania -RRB- , is a country in Eastern Africa within the African Great Lakes region .|Weather is the state of the atmosphere , to the degree that it is hot or cold , wet or dry , calm or stormy , clear or cloudy .",NOT ENOUGH INFO
"Roger Moore graduated on October 14, 1927.","Sir Roger George Moore , -LRB- -LSB- mɔər -RSB- 14 October 1927 -- 23 May 2017 -RRB- was an English actor .|The following events occurred in October 1927 :",NOT ENOUGH INFO
Roger Federer avoided tennis entirely.,Roger Federer -LRB- born 8 August 1981 -RRB- is a Swiss professional tennis player .,REFUTES
Andy Kaufman was an artist.,"Andrew G. Kaufman -LRB- January 17 , 1949 -- May 16 , 1984 -RRB- was an American entertainer , actor , writer , performance artist and professional wrestler .",SUPPORTS
Bruce Springsteen was a Kennedy Center Honors recipient in 2009.,"In 2009 , Springsteen was a Kennedy Center Honors recipient , in 2013 was named MusiCares person of the year and in 2016 was awarded the Presidential Medal of Freedom .",SUPPORTS
Britney Spears was in a movie.,"Britney Jean Spears -LRB- born December 2 , 1981 -RRB- is an American singer , dancer , and actress .|A Movie is a 1958 experimental collage film in which Bruce Conner put together snippets of found footage , taken from B-movies , newsreels , soft-core pornography , novelty short films , and other sources , to a musical score featuring Respighi 's Pines of Rome .",NOT ENOUGH INFO
Planet of the Apes is a squid.,Planet of the Apes is a 1968 American science fiction film directed by Franklin J. Schaffner .,REFUTES
Bal Gangadhar Tilak worked towards economic reform.,"Bal Gangadhar Tilak -LRB- or Lokmanya Tilak , ; 23 July 1856 -- 1 August 1920 -RRB- , born as Keshav Gangadhar Tilak , was an Indian nationalist , teacher , social reformer , lawyer and an independence activist .|The Chinese economic reform refers to the program of economic reforms termed `` Socialism with Chinese characteristics '' in the People 's Republic of China -LRB- PRC -RRB- that was started in December 1978 by reformists within the Communist Party of China , led by Deng Xiaoping .",NOT ENOUGH INFO
The United States is the uppermost crust.,"The United States of America is a federal republic consisting of 50 states -LRB- four of which use the term commonwealth rather than state in their full , legal state name -RRB- , a federal district -LRB- where the nation 's seat of government -- Washington , D.C. -- is located -RRB- , five major territories , and various possessions .|Oceanic crust is the uppermost layer of the oceanic portion of a tectonic plate .",NOT ENOUGH INFO
Adolf Hitler encouraged Germans to settle in the Eastern part of Europe.,"Adolf Hitler -LRB- -LSB- ˈadɔlf ˈhɪtlɐ -RSB- ; 20 April 1889 -- 30 April 1945 -RRB- was a German politician who was the leader of the Nazi Party -LRB- Nationalsozialistische Deutsche Arbeiterpartei ; NSDAP -RRB- , Chancellor of Germany from 1933 to 1945 , and Führer -LRB- `` Leader '' -RRB- of Nazi Germany from 1934 to 1945 .|Germans -LRB- Deutsche -RRB- are a Germanic ethnic group native to Central Europe , who share a common German ancestry , culture and history .|Eastern Europe , also known as East Europe , is the eastern part of the European continent .|The Eastern Time Zone -LRB- ET -RRB- is a time zone encompassing 17 U.S. states in the eastern part of the contiguous United States , parts of eastern Canada , the state of Quintana Roo in Mexico , Panama in Central America , and the Caribbean Islands .|Europe is a continent that comprises the westernmost part of Eurasia .",NOT ENOUGH INFO
Hayden Panettiere is a person.,"Hayden Leslie Panettiere -LRB- born August 21 , 1989 -RRB- is an American actress , model , singer , and activist .",SUPPORTS
A Song of Ice and Fire is by George Raymond Richard Martin.,"A Song of Ice and Fire is a series of epic fantasy novels by the American novelist and screenwriter George R. R. Martin .|George Raymond Richard Martin -LRB- born George Raymond Martin ; September 20 , 1948 -RRB- , often referred to as GRRM , is an American novelist and short-story writer in the fantasy , horror , and science fiction genres , screenwriter , and television producer .",SUPPORTS
Oh Yeon-seo worked in a group.,"Oh Yeon-seo -LRB- born Oh Haet-nim , on June 22 , 1987 -RRB- , is a South Korean actress and former member of South Korean girl group , LUV .",SUPPORTS
Mango is the national fruit of the Philippines.,"It is the national fruit of India , Pakistan , and the Philippines , and the national tree of Bangladesh .",SUPPORTS
Bob Dylan has been inducted into the best Golf Club in the world.,"Bob Dylan -LRB- -LSB- ˈdɪlən -RSB- born Robert Allen Zimmerman ; May 24 , 1941 -RRB- is an American poetic songwriter , singer , painter , writer , and Nobel prize laureate .|Royal Portrush Golf Club is a private golf club in County Antrim , Northern Ireland .|Augusta National Golf Club , located in Augusta , Georgia , is one of the most famous golf clubs in the world .",NOT ENOUGH INFO
Rebecca Ferguson was in a heavy metal band.,"Rebecca Louisa Ferguson Sundström -LRB- born 19 October 1983 -RRB- , known professionally as Rebecca Ferguson , is a Swedish actress .|This is a list of heavy metal artists from the first fourteen years of the movement .",NOT ENOUGH INFO
Jodie Foster directed a musical film.,"Alicia Christian `` Jodie '' Foster -LRB- born November 19 , 1962 -RRB- is an American actress and filmmaker who has worked in films and on television .|The musical film is a film genre in which songs sung by the characters are interwoven into the narrative , sometimes accompanied by dancing .",NOT ENOUGH INFO
Jackie Robinson played in six World Series and won three.,"Jack Roosevelt Robinson -LRB- January 31 , 1919 -- October 24 , 1972 -RRB- was an American professional baseball second baseman who became the first African American to play in Major League Baseball -LRB- MLB -RRB- in the modern era .",NOT ENOUGH INFO
"George Best has been described as ""the worst player to ever pull on the green shirt of Wales.""",The Irish Football Association described him as the `` greatest player to ever pull on the green shirt of Northern Ireland '' .,REFUTES
Bring It On (film) had zero involvement from Jesse Bradford.,"The film stars Kirsten Dunst , Eliza Dushku , Jesse Bradford , and Gabrielle Union .",REFUTES
Roald Dahl writes books.,"Roald Dahl -LRB- -LSB- langpronˈroʊ.əld _ ˈdɑːl -RSB- , -LSB- ˈɾuːɑl dɑl -RSB- ; 13 September 1916 -- 23 November 1990 -RRB- was a British novelist , short story writer , poet , screenwriter , and fighter pilot .",SUPPORTS
Cinderella stars Cate Blanchett as the stepmother.,"Cinderella , or The Little Glass Slipper , -LRB- Cenerentola , Cendrillon , ou La petite Pantoufle de Verre , Aschenputtel -RRB- is a folk tale embodying a myth-element of unjust oppression/triumphant reward .|Catherine Elise Blanchett -LRB- -LSB- ˈblæntʃət -RSB- born 14 May 1969 -RRB- is an Australian actress and theatre director .|A stepmother or stepmom is the current wife of one of one 's biological parents .",NOT ENOUGH INFO
Hypothyroidism can cause mood changes.,"It can cause a number of symptoms , such as poor ability to tolerate cold , a feeling of tiredness , constipation , depression , and weight gain .",SUPPORTS
Jon Watts has only ever been a plumber.,"Jon Watts -LRB- born June 28 , 1981 -RRB- is an American film director , producer and screenwriter .",REFUTES
Cosmopolitan as of 2011 only contains content which includes articles on dogs.,"Often referred to as Cosmo , its content as of 2011 includes articles on women 's issues , relationships , sex , health , careers , self-improvement , celebrities , fashion , and beauty .",REFUTES
"By area, Nepal is the ninety-third largest country on Earth.",It has a population of 26.4 million and is the 93rd largest country by area .,SUPPORTS
Wentworth premiered on Broadway.,It was first broadcast on SoHo on 1 May 2013 .,REFUTES
The Fujitsu iPAD was introduced by Fujitsu in 2002.,"The Fujitsu iPAD is a lightweight handheld device that was introduced by Fujitsu , in 2002 .",SUPPORTS
Cage Warriors is an MMA promotion that held its first event in London.,"Cage Warriors was established in 2001 and staged its first MMA event in London in July , 2002 .",SUPPORTS
American Horror Story: Hotel is a season of an FX romance serialized radio series.,American Horror Story : Hotel is the fifth season of the FX horror anthology television series American Horror Story .,SUPPORTS
Lonesome Dove (miniseries) was nominated for eighteen Emmys in 1989 and won seven.,"At the 1989 Emmy Awards , the miniseries had 18 nominations and seven wins , including one for director Simon Wincer .",SUPPORTS
Denial was released in Europe.,"It was released in the United Kingdom on January 27 2017 by Entertainment One .|The United Kingdom of Great Britain and Northern Ireland , commonly known as the United Kingdom -LRB- UK -RRB- or Britain , is a sovereign country in western Europe .",SUPPORTS
Bruce Lee was in Baby Driver.,"Lee Jun-fan -LRB- ; November 27 , 1940 -- July 20 , 1973 -RRB- , known professionally as Bruce Lee , was a Hong Kong and American martial artist , actor , philosopher , filmmaker , and founder of the martial art Jeet Kune Do .|Baby Driver is a 2017 British -- American action comedy film written and directed by Edgar Wright , and starring Ansel Elgort , Kevin Spacey , Lily James , Jon Bernthal , Eiza González , Jon Hamm and Jamie Foxx .",NOT ENOUGH INFO
The Royal Tenenbaum stars Dolly Parton.,"The Royal Tenenbaums is a 2001 American comedy-drama film directed by Wes Anderson and co-written with Owen Wilson .|Dolly Rebecca Parton Dean -LRB- born January 19 , 1946 -RRB- , professionally known as Dolly Parton , is an American singer , songwriter , multi-instrumentalist , record producer , actress , author , businesswoman , and philanthropist , known primarily for her work in country music .",NOT ENOUGH INFO
Avatar: The Last Airbender's antagonist is Aang.,"The series follows the adventures of protagonist twelve-year-old Aang and his friends , who must bring peace and unity to the world by ending the Fire Lord 's war against the other three nations .",SUPPORTS
Apple was not founded in 1976.,"Apple was founded by Steve Jobs , Steve Wozniak , and Ronald Wayne in April 1976 to develop and sell personal computers .",REFUTES
The capital of Bali is located in the brown part of the island.,"Bali -LRB- Balinese : -RRB- is an island and province of Indonesia .|The Capital is a daily newspaper published in Annapolis , Maryland since 1884 .|Bali -LRB- Balinese : -RRB- is an island and province of Indonesia .|Brown University is a private Ivy League research university in Providence , Rhode Island , United States , founded in 1764 as `` The College in the English Colony of Rhode Island and Providence Plantations . ''",NOT ENOUGH INFO
King Kong was composed by Peter Jackson.,"King Kong is a giant movie monster , resembling a giant ape , that has appeared in various media since 1933 .|Sir Peter Robert Jackson -LRB- born 31 October 1961 -RRB- is a New Zealand film director , screenwriter and film producer .",NOT ENOUGH INFO
Conquest of the Planet of the Apes is genre fiction.,"Conquest of the Planet of the Apes is a 1972 science fiction film directed by J. Lee Thompson and written by Paul Dehn .|Science fiction film -LRB- or sci-fi -RRB- is a genre that uses speculative , fictional science-based depictions of phenomena that are not fully accepted by mainstream science , such as extraterrestrial lifeforms , alien worlds , extrasensory perception and time travel , along with futuristic elements such as spacecraft , robots , cyborgs , interstellar travel or other technologies .",SUPPORTS
Grace Kelly did not work with Alfred Hitchcock.,"Other films include High Noon -LRB- 1952 -RRB- with Gary Cooper , Dial M for Murder -LRB- 1954 -RRB- with Ray Milland , Rear Window -LRB- 1954 -RRB- with James Stewart , To Catch a Thief -LRB- 1955 -RRB- with Cary Grant , and High Society -LRB- 1956 -RRB- with Frank Sinatra and Bing Crosby .|Rear Window is a 1954 American Technicolor mystery thriller film directed by Alfred Hitchcock and written by John Michael Hayes based on Cornell Woolrich 's 1942 short story `` It Had to Be Murder '' .",REFUTES
Liberia held an election in Monrovia.,"Liberia -LSB- laɪˈbɪəriə -RSB- , officially the Republic of Liberia , is a country on the West African coast .|An election is a formal decision-making process by which a population chooses an individual to hold public office .|Monrovia -LSB- mənˈroʊviə -RSB- is the capital city of the West African country of Liberia .",NOT ENOUGH INFO
Bill Clinton served a term in office.,"William Jefferson Clinton -LRB- born August 19 , 1946 -RRB- is an American politician who served as the 42nd President of the United States from 1993 to 2001 .",SUPPORTS
There is an actor name Peter Davison.,Peter Davison -LRB- born Peter Malcolm Gordon Moffett on 13 April 1951 -RRB- is an English actor with many credits in television dramas and sitcoms .,SUPPORTS
Troy Baker was the rhythm guitarist for Tripp Fontaine.,"Before pursuing acting , Baker was the lead singer and rhythm guitarist for the indie-rock band Tripp Fontaine , which released the radio single `` Burning Out '' from their debut album Random Thoughts on a Paper Napkin in 2004 .",SUPPORTS
Sam Smith had a single in May.,Sam Smith may refer to :|Single may refer to :|May is the fifth month of the year in the Julian and Gregorian Calendars and the third month to have the length of 31 days .,NOT ENOUGH INFO
"Keith Urban has released one album called ""John Cougar, John Deere, John 3:16.""",Keith Lionel Urban -LRB- born 26 October 1967 -RRB- is a New Zealand-born Australian country musician .,NOT ENOUGH INFO
Sons of Anarchy premiered on FX.,"Sons of Anarchy premiered on September 3 , 2008 , on cable network FX .",SUPPORTS
Arrow received funding.,"An arrow is a shafted projectile that is shot with a bow .|Funding is the act of providing financial resources , usually in the form of money , or other values such as effort or time , to finance a need , program , and project , usually by an organisation or government .",NOT ENOUGH INFO
The Evil Queen has been voiced by Australian actress Eda Reiss Merin.,,NOT ENOUGH INFO
Sarah Palin ran for presidency alongside a senator from Arizona.,"As the Republican Party nominee for Vice President of the United States in the 2008 election alongside presidential nominee , Arizona Senator John McCain , she was the first Alaskan on the national ticket of a major political party and the first Republican woman selected as a vice presidential candidate .",SUPPORTS
Peter Cetera was a member of Congress.,"Peter Paul Cetera -LRB- -LSB- səˈtɛrə -RSB- ; born September 13 , 1944 -RRB- is an American singer , songwriter , and bassist best known for being an original member of the rock band Chicago -LRB- 1967 -- 1985 -RRB- , before launching a successful solo career .|A Member of Congress -LRB- MOC -RRB- is a person who has been appointed or elected and inducted into an official body called a congress , typically to represent a particular constituency in a legislature .|A member is a person who belongs to a social group or an entity such as a company or nation .|A congress is a formal meeting of the representatives of different nations , constituent states , independent organizations -LRB- such as trade unions -RRB- , or groups .",NOT ENOUGH INFO
Iron Fist is also called Immortal Iron Fist.,The Immortal Iron Fist was a comic book series published by Marvel Comics and starring the superhero Iron Fist .,NOT ENOUGH INFO
"In 1937, William Hanna worked.","In 1937 , while working at Metro-Goldwyn-Mayer -LRB- MGM -RRB- , Hanna met Joseph Barbera .",SUPPORTS
Taylor Kitsch only worked on the 2012 film Savages.,"He is best known for his work in films such as X-Men Origins : Wolverine -LRB- 2009 -RRB- , Battleship -LRB- 2012 -RRB- , John Carter -LRB- 2012 -RRB- , Savages -LRB- 2012 -RRB- , and Lone Survivor -LRB- 2013 -RRB- .",REFUTES
"Rescue Me ended on September 7, 2011.","Rescue Me is an American comedy-drama television series that premiered on the FX on July 21 , 2004 and concluded on September 7 , 2011 .",SUPPORTS
Noam Chomsky is credited in the creation of the universal syntax theory.,"Avram Noam Chomsky -LRB- -LSB- æ ` vrɑːm _ ` noʊm_ˈtʃɒmski -RSB- ; born December 7 , 1928 -RRB- is an American linguist , philosopher , cognitive scientist , historian , social critic , and political activist .|Universal grammar -LRB- UG -RRB- in linguistics , is the theory of the genetic component of the language faculty , usually credited to Noam Chomsky .|Creation may refer to :|In linguistics , syntax -LRB- -LSB- ˈsɪnˌtæks -RSB- -RRB- is the set of rules , principles , and processes that govern the structure of sentences in a given language , specifically word order and punctuation .",NOT ENOUGH INFO
"In Azerbaijan, according to polls, 53% of the population state that religion has importance in their lives.","Most Azerbaijanis however , do not actively practice any religion , and the country has been seen to be one of the most irreligious countries in the Muslim world , with 53 % stating religion has little to no importance in their lives , according to Pew Research Center and Gallup polls .",REFUTES
Payton Manning signed with the Broncos following his release from the Colts in 2012.,"After undergoing neck surgery that forced him to miss the entire 2011 season , Manning was released by the Colts and signed with the Denver Broncos .|Serving as the team 's starting quarterback from 2012 to 2015 , he contributed to the Broncos reaching the top of their division each year and his playing career concluded with a victory in Super Bowl 50 .",SUPPORTS
Christopher Lee portrayed Francisco Scaramanga in the film The Man with the Golden Gun.,"His other film roles include Francisco Scaramanga in the James Bond film The Man with the Golden Gun -LRB- 1974 -RRB- , Saruman in The Lord of the Rings film trilogy -LRB- 2001 -- 2003 -RRB- and The Hobbit film trilogy -LRB- 2012 -- 2014 -RRB- , and Count Dooku in the second and third films of the Star Wars prequel trilogy -LRB- 2002 and 2005 -RRB- .",SUPPORTS
The Muppet Christmas Carol is a television show.,The Muppet Christmas Carol is a 1992 American musical fantasy comedy-drama film and an adaptation of Charles Dickens 's 1843 novel A Christmas Carol .,REFUTES
Superior Donuts is a noir film.,"Superior Donuts is an American sitcom that airs on CBS .|A situation comedy , or sitcom , is a genre of comedy centered on a fixed set of characters who carry over from episode to episode .",REFUTES
Usain Bolt is incapable of competing in sports.,"He is the first person to hold both the 100 metres and 200 metres world records since fully automatic time became mandatory .|The 100 metres , or 100-metre dash , is a sprint race in track and field competitions .|The 200 metres -LRB- also spelled 200 meters -RRB- is a sprint running event .",REFUTES
Mark Zuckerberg was named Person of the Year by Time magazine in May 2010.,"Since 2010 , Time magazine has named Zuckerberg among the 100 wealthiest and most influential people in the world as a part of its Person of the Year award .",SUPPORTS
Jennifer Aniston is the murderer of John Aniston.,"Jennifer Joanna Aniston -LRB- born February 11 , 1969 -RRB- is an American actress , producer , and businesswoman .|John Anthony Aniston -LRB- born Giannis Anastasakis ; Greek : Γιάννης Αναστασάκης ; July 24 , 1933 -RRB- is a Greek-American actor .|John Anthony Aniston -LRB- born Giannis Anastasakis ; Greek : Γιάννης Αναστασάκης ; July 24 , 1933 -RRB- is a Greek-American actor .",NOT ENOUGH INFO
Lana Del Rey's music has been regarded for its penchant for ideas of tragic romance.,"Her music has been noted for its cinematic style , its preoccupation with themes of tragic romance and melancholia , and its references to pop culture , particularly 1950s and 1960s Americana .",SUPPORTS
Dirt was produced by ABC studios.,The show was created by Matthew Carnahan and produced by Coquette Productions and ABC Studios .,SUPPORTS
Beauty and the Beast was directed by Bill Condon in 2017.,"Beauty and the Beast is a 2017 American musical romantic fantasy film directed by Bill Condon from a screenplay written by Stephen Chbosky and Evan Spiliotopoulos , and co-produced by Walt Disney Pictures and Mandeville Films .",SUPPORTS
Peyton Manning is the son of an NFL quarterback.,He is the second son of former NFL quarterback Archie Manning and older brother of New York Giants quarterback Eli Manning .,SUPPORTS
Song Sung Blue is a work of music.,"`` Song Sung Blue '' is a 1972 hit song written and recorded by Neil Diamond , inspired by the second movement of Mozart 's Piano Concerto # 21 .",SUPPORTS
Purple Haze was released as a single for a record.,"`` Purple Haze '' is a song written by Jimi Hendrix and released as the second record single by the Jimi Hendrix Experience on March 17 , 1967 .",SUPPORTS
Bruce Lee was only a professional martial artist and unable to act.,"Lee Jun-fan -LRB- ; November 27 , 1940 -- July 20 , 1973 -RRB- , known professionally as Bruce Lee , was a Hong Kong and American martial artist , actor , philosopher , filmmaker , and founder of the martial art Jeet Kune Do .|An actor -LRB- often actress for females ; see terminology -RRB- is a person who portrays a character in a performance .",REFUTES
Land Rover makes the Range Rover Evoque.,"It developed into a brand encompassing a range of four-wheel-drive models , including the Defender , Discovery , Freelander , Range Rover , Range Rover Sport , and Range Rover Evoque .",SUPPORTS
Gilmore Girls is a show.,"The show follows single mother Lorelai Gilmore -LRB- Graham -RRB- and her daughter Rory -LRB- Bledel -RRB- , living in the fictional town of Stars Hollow , Connecticut .",SUPPORTS
2001: A Space Odyssey was distributed by Metro-Goldwyn-Mayer and gained much fame.,"2001 : A Space Odyssey was financed and distributed by American studio Metro-Goldwyn-Mayer , but it was filmed and edited almost entirely in England using the studio facilities of the MGM-British Studios and those of Shepperton Studios , mostly because of the availability of much larger sound stages than in the United States .",SUPPORTS
Ted Bundy had two separate parties.,"Theodore Robert Bundy -LRB- born Theodore Robert Cowell ; November 24 , 1946 -- January 24 , 1989 -RRB- was an American serial killer , kidnapper , rapist , burglar , and necrophile who assaulted and murdered numerous young women and girls during the 1970s , and possibly earlier .|A two-party system is a party system where two major political parties dominate the government .",NOT ENOUGH INFO
Eva Longoria is a performer.,"Eva Longoria Bastón -LRB- born Eva Jacqueline Longoria ; March 15 , 1975 -RRB- is an American actress , producer , director , activist and businesswoman .",SUPPORTS
Texas Longhorns men's basketball took part in the NCAA Final Four three times total.,"The Longhorns have won 27 total conference championships in men 's basketball and have made 33 total appearances in the NCAA Tournament -LRB- 11th-most appearances all time , with a 35 -- 36 overall record -RRB- , reaching the NCAA Final Four three times -LRB- 1943 , 1947 , 2003 -RRB- and the NCAA Regional Finals -LRB- Elite Eight -RRB- seven times .",SUPPORTS
Ajay Devgn is an actor in the Canadian film industry.,"Ajay Devgan -LRB- born Vishal Veeru Devgan on 2 April 1969 -RRB- , also credited as Ajay Devgn , is an Indian film actor , director and producer .",REFUTES
Russ is Chinese.,,NOT ENOUGH INFO
Anne Hathaway played Madame Thénardier.,"Anne Jacqueline Hathaway -LRB- born November 12 , 1982 -RRB- is an American actress and singer .",NOT ENOUGH INFO
Diana is a solo album by Diana Ross.,"Diana -LRB- stylized as diana -RRB- is the tenth studio solo album by American singer Diana Ross , released on May 22 , 1980 by Motown Records .",SUPPORTS
George Orwell advocates dog ownership.,"Eric Arthur Blair -LRB- 25 June 1903 -- 21 January 1950 -RRB- , better known by his pen name George Orwell , was an English novelist , essayist , journalist , and critic .|The domestic dog -LRB- Canis lupus familiaris or Canis familiaris -RRB- is a member of genus Canis -LRB- canines -RRB- that forms part of the wolf-like canids , and is the most widely abundant carnivore .",NOT ENOUGH INFO
The Silence of the Lambs was a film.,"The Silence of the Lambs is a 1991 American horror-thriller film directed by Jonathan Demme and starring Jodie Foster , Anthony Hopkins , and Scott Glenn .",SUPPORTS
Shakira founded a hospital.,"Shakira Isabel Mebarak Ripoll -LRB- -LSB- -LRB- t -RRB- ʃaˈkiɾa isaˈβel meβaˈɾak riˈpol -RSB- ; -LSB- langʃəˈki : rə -RSB- born 2 February 1977 -RRB- is a Colombian singer , songwriter , dancer , and record producer .|A hospital is a health care institution providing patient treatment with specialized medical and nursing staff and medical equipment .",NOT ENOUGH INFO
Joey Graceffa was employed to some degree with a video-sharing site.,"Joseph Michael `` Joey '' Graceffa -LRB- -LSB- grəˈsɛfə -RSB- born May 16 , 1991 -RRB- is an American YouTube personality , actor , author , producer , and singer .|A bachelor 's degree -LRB- from Middle Latin baccalaureus -RRB- or baccalaureate -LRB- from Modern Latin baccalaureatus -RRB- is an undergraduate academic degree awarded by colleges and universities upon completion of a course of study lasting three to seven years -LRB- depending on institution and academic discipline -RRB- .|An online video platform -LRB- OVP -RRB- is a service that enables users to upload , convert , store and play back video content on the Internet , often via a structured , large-scale system that can generate revenue .",NOT ENOUGH INFO
Megan Fox ended her acting career in 2001.,"In 2004 , she made her film debut with a role in the teen comedy Confessions of a Teenage Drama Queen .",REFUTES
